Number,Category,Title of Work,Publication,Link,Award,SND Post,Judges
5,Features: Single-subject project,Simone Biles: The Fine Line,The New York Times,http://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html,Gold Medal,https://www.snd.org/2017/02/best-of-digital-first-gold-awarded/,"Fabulous. Everything came together so well and it’s a great interaction with video. The experience of video and interactive can sometimes be really cumbersome but this really nails it. The flow of the story, the use of the graphics and video are spot-on; but also, the piece had the detail and narrative to pull the reader in. It’s not only a technical graphic, it’s telling you a complete story. The editing of the video was very consumable. The typography doesn’t get in the way and allows the reader to focus on the story. Plus, it’s just gorgeous on the phone."
5,Features: Single-subject project,"Blue Feed, Red Feed",Wall Street Journal,http://graphics.wsj.com/blue-feed-red-feed/,Gold Medal,https://www.snd.org/2017/02/best-of-digital-wall-street-journal-wins-gold-for-election-feed/,"The Wall Street Journal blew our mind in how brilliantly simple this piece was. It’s an important story told in a perfect way. People talk about political bubbles conceptually, but they actually went out and made it into something that shows it exists. The piece provides utility and continues to do its job after the election. The design isn’t mindblowing, but it doesn’t need to be. However, the powerful simplicity of the idea is mindblowing. No tricks, no gimmicks, no videos, no maps. It’s something that’s in front of us that’s juxtaposed. Every time we look at it, we think, “That’s it. That’s the future."
6,Features: Coverage,Concrete Divisions,Washington Post,https://www.washingtonpost.com/graphics/world/border-barriers/us-mexico-border-crossing/,Gold Medal,https://www.snd.org/2017/02/best-of-digital-to-the-washington-post-for-exploring-the-wall/,"Tour de force. It’s thoughtful, immersive and deliberate with the navigation and all of the little touches. You’re building a wall as you go along. The Post pushes the medium forward in terms of trying to crack the nut on digital video storytelling with this piece. The maps are gorgeous and the control of just three colors is amazing. Not only does it stretch the medium of digital storytelling, but it also stretches the technical area. They seam together the video clips perfectly and provide a great user experience. You fall in and start going."
9,Graphics: Motion graphics,A Bullet Could Hit Me and My Kids Anytime',The New York Times,http://www.nytimes.com/interactive/2016/12/28/us/chicago-violence-walking-to-school-a-bullet-could-hit-me-and-my-kids-anytime.html,Gold Medal,https://www.snd.org/2017/02/best-of-digital-gold-to-the-new-york-times/,"This piece goes beyond the motion graphics category; it’s a marriage of multiple elements that tell the story in a standard-setting, exemplary way. It connects data to a specific person or specific perspective of a people. You see what is going to happen to them and then you see a broader view, which is no easy feat. It’s better than just thinking of this topic as points on a map. The Times thought of something that not everyone would think of doing and does it well. This is perfection of the use of data visualization in motion graphics."
12,Special events: 2016 Summer Olympic Games,Simone Biles: The Fine Line,The New York Times,http://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html,Gold Medal,https://www.snd.org/2017/02/best-of-digital-first-gold-awarded/,"Fabulous. Everything came together so well and it’s a great interaction with video. The experience of video and interactive can sometimes be really cumbersome but this really nails it. The flow of the story, the use of the graphics and video are spot-on; but also, the piece had the detail and narrative to pull the reader in. It’s not only a technical graphic, it’s telling you a complete story. The editing of the video was very consumable. The typography doesn’t get in the way and allows the reader to focus on the story. Plus, it’s just gorgeous on the phone."
2,Breaking/Daily News: Single-subject project,"A Trail of Terror in Nice, Block by Block",The New York Times,https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html,Silver Medal,https://www.snd.org/2017/02/best-of-digital-first-silver-medal-announced/,"A creative way to handle a breaking news event that’s not like the typical stack. It’s outstanding, close to being seamless. It worked really well on mobile. They used the right mechanisms to tell this story, it’s the right amount of information. Editing is a real-key to a high level story. Delivering one map and fact makes it delivered in palatable bite-size chunks. Almost-perfect turnaround for the story they’re trying to tell."
3,Breaking/Daily News: Planned coverage,Berlin City Marathon 2016,Morgen Post,http://interaktiv.morgenpost.de/berlin-marathon-2016/,Silver Medal,https://www.snd.org/2017/02/best-of-digital-silver-to-berliner-morgenpost-for-marathon/,The simplicity of the graphic’s execution is its hallmark. It would have been easy to go over the top with annotation and explanation. The graphic was dialed in and fun and wasn’t oversubscribed. They took marathon results and created a novel visualization that offered a lot of different ways to experience and perceive the race.
5,Features: Single-subject project,NYT Magazine: The New York Issue,The New York Times,http://www.nytimes.com/interactive/2016/06/05/magazine/new-york-life.html,Silver Medal,https://www.snd.org/2017/02/best-of-digital-silver-to-the-n-y-times-magazine-for-your-issue/,"The way that they parsed out a single-topic issue was interesting. The mobile presentation is really thoughtful. The collection of current and historical information is good and everything has a consistent look, something not easy to do when pulling together so many types of media."
5,Features: Single-subject project,Under Our Skin: Talk About Race,Seattle Times,https://projects.seattletimes.com/2016/under-our-skin/,Silver Medal,https://www.snd.org/2017/02/best-of-digital-silver-to-seattle-times-for-leading-a-discussion-on-race/,"You have the video — but you have a way to curate through the tags the kind of video. Instead of curating words, you’re curating video. It feels like a conversation, not just a singular piece. It brings a new kind of experience to the storytelling. The navigation is done brilliantly, which makes the reader want to stay with the piece longer. The comments, both where they are in the sequence and the fact that it’s brave to include, is necessary and well-done. Trying to design video experiences is a tall order — this is done well."
5,Features: Single-subject project,They Are Slaughtering Us Like Animals,The New York Times,http://www.nytimes.com/interactive/2016/12/07/world/asia/rodrigo-duterte-philippines-drugs-killings.html,Silver Medal,https://www.snd.org/2017/02/best-of-digital-silver-to-new-york-times-for-philippines-photo-story/,"For one, it’s great that they pull in Google Maps. I was kind of surprised by that choice — because they do so much mapping — but nobody can provide what that area looks like in the daytime quite the way Google can. The fact that you see the title and the option to see the caption lets the photos speak. The piece has very controlled use of the storytelling elements — photo, video and map."
